UserID,Item1,Item2,bitClassification
1963,1503,2798,1
5951,1098,1511,0
1254,366,3523,1
2738,1546,197,1
3527,406,3527,0
1169,2409,1264,0
3496,3666,500,0
1684,109,848,0
2968,1568,531,1
657,1642,2446,0
4876,375,1948,1
5052,2459,1043,0
4841,1503,1095,1
1647,2935,639,1
727,2577,1555,1
1160,3484,733,1
3851,1291,3249,0
3551,952,1900,1
384,223,2458,1
3046,3098,2411,1
1775,896,320,0
4113,3415,142,0
3967,880,90,1
156,2836,3390,1
4840,745,307,1
3912,3668,3671,0
2547,1462,2507,0
5293,2936,531,0
4036,1486,170,1
3286,1689,840,1
3627,2445,951,0
1749,1391,602,1
4862,1308,312,0
3563,3110,2032,1
1814,1152,161,1
3757,40,3635,1
102,3523,1759,0
3497,135,776,0
2479,3675,287,1
5450,3373,2705,0
5296,2697,926,0
2853,244,2348,0
5124,1154,126,1
1367,647,3500,0
3390,675,2870,1
4967,2640,1268,0
1589,995,1486,0
2386,2240,3016,0
1374,1934,2107,1
4057,3618,2102,0
5184,1880,2793,0
1929,634,2175,0
1932,3096,2054,0
4313,2433,2582,0
2761,3208,276,1
5190,2080,510,1
5408,423,1974,0
3048,2700,2326,0
31,2754,840,1
496,1857,3274,0
1021,28,1958,0
5541,2263,1603,1
1226,3370,538,1
1950,109,1253,1
2178,2270,2214,1
2598,3429,2099,1
520,221,479,1
3723,3429,963,1
3399,2641,532,1
61,3015,829,1
4092,299,2422,0
2170,274,1268,1
3894,1130,2402,0
5485,723,287,1
1603,2626,3020,0
1866,1922,3125,0
5703,829,2248,0
4024,290,3226,1
1710,287,3390,0
4369,1892,647,0
3607,3200,452,0
1607,1596,28,0
595,274,3604,0
1157,2986,736,0
1723,898,1596,0
5031,1918,3450,0
1616,90,726,1
3930,361,1265,0
3571,1284,1438,1
3605,2246,2738,0
5101,2909,630,1
3333,37,366,0
2822,2538,1486,0
1967,1323,2701,1
5568,129,433,0
931,1856,734,1
3471,3600,780,0
85,405,3216,1
1133,562,986,1
949,1611,1874,0
4723,1332,1227,1
2650,500,781,0
1303,1331,1109,1
439,2261,2935,1
4627,420,2032,0
5163,1304,1438,1
2223,2380,1079,1
357,2246,1212,0
129,1679,2993,1
4525,3390,3118,1
2177,1622,3216,0
5312,237,1662,1
4714,2731,1748,0
3874,2764,3651,1
655,2603,3616,0
4955,258,290,1
5698,915,2410,1
1375,3321,2935,0
5484,104,50,0
5492,1507,2587,1
3854,995,3151,1
1158,2697,320,1
4296,3008,1607,1
113,1707,1608,1
4966,1333,2407,0
2591,18,788,0
361,2586,550,0
3344,242,1986,1
1413,1096,726,1
987,540,2282,1
4848,320,2254,0
4655,2138,2080,0
