UserId,Item1,Item2,bitClassification
1963,987,1436,1
5951,1080,872,0
1254,90,192,1
2738,3003,1945,0
3527,351,2744,1
1169,2758,2652,1
3496,466,423,1
1684,319,219,0
2968,1179,3128,1
657,127,1761,0
4876,603,2458,0
5052,2207,1976,1
4841,575,397,0
1647,1154,44,0
727,1934,2000,0
1160,2172,2944,0
3851,1300,3062,1
3551,3430,2827,1
384,190,3675,1
3046,944,718,1
1775,3402,3393,0
4113,60,2428,0
3967,1268,3686,0
156,3062,3024,0
4840,3693,1380,1
3912,3334,501,1
2547,3320,3289,1
5293,1865,423,1
4036,842,910,0
3286,3273,960,0
3627,3064,1083,0
1749,515,532,1
4862,872,863,1
3563,3028,1614,0
1814,2975,408,1
3757,1571,2855,1
102,1076,771,0
3497,3272,1784,1
2479,37,797,0
5450,1030,1113,1
5296,2191,408,1
2853,991,1,1
5124,751,2161,0
1367,929,2986,1
3390,65,1348,0
4967,1365,3244,1
1589,2598,2953,1
2386,562,1879,0
1374,32,634,1
4057,71,497,0
5184,3096,3216,1
1929,2877,147,0
1932,2051,1441,1
4313,619,2100,1
2761,3412,2080,1
5190,1256,1906,1
5408,2035,359,0
3048,3154,3002,0
31,2709,1690,1
496,1835,2108,0
1021,2040,3547,1
5541,1734,3591,0
1226,962,1901,0
1950,1743,2643,0
2178,2143,3314,0
2598,3076,2709,1
520,2273,2330,0
3723,1450,1486,1
3399,3365,351,0
61,2795,129,1
4092,2168,1532,0
2170,2462,1334,0
3894,2464,3668,0
5485,1471,2889,1
1603,19,1361,1
1866,2281,3400,1
5703,3700,920,1
4024,1218,1221,0
1710,3269,1418,0
4369,2524,3271,0
3607,3352,2581,0
1607,2819,349,1
595,629,1394,1
1157,1584,3376,0
1723,2249,2473,1
5031,1900,1209,0
1616,3421,184,1
3930,2303,1225,1
3571,133,3622,0
3605,700,96,0
5101,440,3457,1
3333,3210,2394,1
2822,172,1618,1
1967,3032,1108,0
5568,3677,2068,0
931,2083,3005,1
3471,178,3099,0
85,1175,1310,1
1133,2877,1464,0
949,988,2834,0
4723,2744,1243,1
2650,1584,72,0
1303,18,447,0
439,1832,2174,0
4627,3314,1622,1
5163,3274,3675,1
2223,1160,1594,1
357,2006,1380,1
129,270,192,1
4525,3312,2146,0
2177,1009,3104,1
5312,3432,1148,0
4714,3369,734,1
3874,1892,216,0
655,1388,1076,1
4955,2476,349,0
5698,107,1253,1
1375,1507,3194,0
5484,572,60,1
5492,995,787,0
3854,3435,3273,0
1158,2888,182,0
4296,1560,2769,0
113,380,2379,1
4966,184,990,0
2591,240,1909,0
361,715,3435,1
3344,406,987,0
1413,1140,1392,0
987,3623,423,1
4848,472,1611,1
4655,2287,3504,0
5844,3598,1660,0
1393,1239,2018,0
1872,2824,129,1
6023,1318,2798,1
5972,2822,241,1
694,1961,681,1
3028,2721,1695,1
1207,288,2456,0
2041,3625,3635,1
2400,830,2446,1
3989,3158,1708,0
2323,1612,532,1
514,510,995,0
5975,2324,1476,0
3982,957,1653,1
3927,1897,2708,1
2290,1909,959,1
2071,2993,2304,0
2447,3555,1596,1
448,1518,763,0
1242,3475,1110,1
2507,187,1743,1
571,2529,3062,1
5505,294,512,1
4137,1822,2304,1
5135,633,3560,0
256,2614,1633,0
935,2257,2250,0
4439,2797,1903,0
4102,1933,40,1
1863,2441,2313,0
4236,1223,1067,0
5893,641,1785,0
2683,207,3600,1
2544,3686,1903,0
961,2363,3532,1
2562,1351,3483,0
5389,287,3212,0
5838,2980,1049,0
583,1757,3086,1
4368,2804,3151,1
5054,150,170,1
2248,3635,3287,0
2339,542,2596,0
1178,1417,241,1
2518,1128,474,0
4026,3435,3145,1
4833,916,406,1
3500,28,2321,0
2455,569,3474,0
2624,1915,1524,1
2427,972,583,1
1643,1900,3292,0
4210,2080,2773,0
4734,2297,1213,1
1940,3589,888,0
5454,406,2026,0
1215,3689,1986,1
733,3192,1201,1
1673,2740,1405,0
5914,286,609,0
2037,2697,3679,0
2152,3003,1065,0
6036,3094,3127,1
681,1856,278,1
4444,75,2272,1
4607,2331,2032,1
5834,1154,1318,0
5778,2303,1931,1
3262,3582,1281,1
2405,2695,1074,0
5411,1281,1465,0
3208,199,1414,0
2348,2370,1961,0
3044,964,314,1
3540,2462,1681,0
5133,2492,3118,1
2619,3523,2116,0
446,3357,319,1
4719,3218,299,1
2006,3480,1503,1
3151,1961,2110,1
1016,2282,1438,0
5884,3542,723,0
2137,1451,314,1
3546,679,3260,1
4298,734,826,0
5149,3435,3420,0
1276,2129,1760,1
3881,2099,276,0
4085,2274,18,1
1302,2459,1629,1
2409,3636,423,1
3766,1888,1839,0
801,2794,3186,0
2458,1367,307,1
4629,1856,362,0
3687,775,604,0
2984,3053,3235,1
2328,1846,320,1
5169,858,65,1
481,3329,3068,0
2307,37,2369,1
1002,1631,3135,0
3525,1037,879,0
1253,3033,3500,1
2075,540,2511,0
3520,2608,581,0
3681,886,1071,1
3618,3031,3671,1
5714,769,60,1
2151,3207,2431,1
4919,1471,2991,0
4174,3541,1196,0
3242,278,202,0
5032,3635,634,1
1580,1743,2756,0
3111,1608,726,1
5350,708,957,0
1129,406,2708,0
2147,3393,3373,1
4855,1482,2689,0
415,831,3544,1
489,3102,2502,1
891,541,828,0
275,3432,2760,1
1763,3142,1380,1
1829,1900,528,0
1257,2840,2313,1
3882,244,738,0
137,2529,320,1
17,3214,540,1
4023,512,151,0
1843,3296,2524,1
643,2032,2846,1
5225,1357,2215,0
5106,3341,340,1
4622,782,18,1
5851,3663,2796,1
2563,2364,809,1
1850,313,3662,0
4517,2062,361,1
3544,1590,1432,1
660,18,54,0
2966,1900,1533,0
5765,1780,13,1
289,2618,961,1
2884,213,557,1
4094,1418,2524,1
2336,2990,1450,0
5130,877,1643,0
827,2721,851,1
1622,2149,1140,0
3011,2400,2685,0
2789,3147,1594,1
1134,2875,814,1
351,1475,782,1
1851,1230,1402,0
2069,127,2768,0
5140,2414,3217,1
5739,1906,287,1
5653,789,291,0
1641,3408,2878,0
1386,1209,708,1
3584,3615,2721,0
5561,1357,3134,0
5943,753,2830,1
5364,1828,3487,0
1338,764,926,1
4839,1325,3062,1
4028,249,1530,0
3409,1661,3100,0
2,1704,630,1
4875,3402,2186,0
5953,1849,1404,0
2039,2827,245,0
4736,3293,2524,1
1470,814,2661,0
1518,2728,2073,1
4640,2002,3224,1
671,3492,406,1
5470,2652,1886,1
304,3112,1149,0
396,3438,2793,1
4760,2251,127,1
5269,2750,1037,1
981,1770,678,1
4947,1137,1117,1
560,236,439,1
1579,2099,1275,0
3581,2747,1159,1
1301,2797,3675,1
445,1502,12,0
5747,860,2920,0
2774,299,373,0
5488,1408,1874,1
1232,3690,3224,1
2181,3084,129,1
3586,1253,735,0
4793,2491,752,0
4822,3360,933,1
3698,2796,1813,0
2577,1155,1507,1
1390,75,2240,1
472,3367,3112,1
5768,2625,2198,0
1055,3260,2745,1
3919,2692,1911,1
3178,305,715,0
4007,1003,3291,0
5013,2938,2990,1
3386,3620,1614,1
2742,3273,1574,0
4421,2506,242,1
3198,1793,1849,1
5613,948,1564,0
2466,3321,2016,1
3798,968,3500,1
5062,3007,638,1
5196,273,2255,1
5799,162,2696,1
354,40,1703,0
5381,1851,1331,1
1404,327,3523,1
1330,2419,2883,0
2909,2997,433,1
5996,1461,541,1
1776,2088,575,1
5000,3002,1529,1
3816,788,2262,0
1791,463,775,1
2257,183,557,1
3983,2764,1167,1
3136,1861,745,1
4942,512,3175,0
5907,418,884,1
5170,2495,266,1
3990,897,1201,1
104,1068,1107,0
2446,2110,925,0
2623,2306,1095,1
426,1469,406,1
796,1604,184,0
5532,3267,3442,0
2512,481,1986,1
3486,545,532,1
5115,2475,2553,1
808,2912,2983,1
4438,3334,231,0
4121,2115,853,0
1835,1785,2830,1
118,3651,466,1
3342,2011,349,1
2802,2859,3694,1
3634,3315,2996,0
586,2539,638,1
6019,2681,3092,0
2109,2374,2399,0
3974,3344,779,1
1040,884,2629,0
3063,1748,3493,0
2480,1653,2890,0
1933,2425,658,0
353,1136,2982,0
2525,292,289,0
2638,1759,1900,1
3361,882,964,0
2093,3251,127,1
1391,493,1524,1
1825,14,1363,0
52,2642,1421,0
2482,3072,1147,0
1298,1439,2560,1
1467,1448,1906,1
3942,1895,2141,1
5161,2241,429,0
2814,1486,1145,0
754,1003,716,0
5297,1068,1925,0
2132,3028,3353,0
1354,1892,3029,0
747,1079,2530,0
2724,3330,384,0
5373,2431,549,0
410,2677,3297,1
2981,1645,888,0
1537,843,3062,1
1201,2887,773,1
4186,3615,2025,1
661,2605,3205,0
3484,3158,967,0
3677,1659,3190,0
4878,2213,1386,1
2095,3093,3605,1
648,220,1118,0
1154,745,1019,0
5563,3476,3406,0
2628,240,609,1
4379,123,299,1
2417,1155,646,0
739,1959,2513,1
3282,290,2265,0
267,2291,1458,0
2255,1557,2808,0
2861,1037,500,0
5316,1637,2738,1
665,995,1481,0
1674,1019,3639,0
5686,936,3566,1
5784,60,2084,0
1533,2003,2407,1
698,952,388,0
813,1499,1529,1
1619,2603,2063,1
3997,553,290,1
1646,3158,2768,0
551,3106,1772,0
5553,299,33,0
142,2862,2031,0
2825,2734,170,1
4179,1740,1570,0
3878,3634,2721,0
4252,123,2335,1
230,1253,2990,0
5203,3574,2500,0
793,784,2104,0
877,479,1235,1
2515,751,254,1
3805,1417,706,0
3457,1268,595,0
3968,2110,634,0
2866,2345,2211,1
4263,2781,1078,1
5565,2179,55,0
